County,Income,Families,Families ME,Year
Adams,LowIncome,47.00,20.00,2020
Adams,MidIncome,34.00,16.00,2016
Adams,MidIncome,34.00,16.00,2017
Adams,MidIncome,34.00,16.00,2018
Adams,MidIncome,34.00,16.00,2019
Adams,MidIncome,34.00,16.00,2020
Adams,MidIncome,59.00,28.00,2016
Adams,MidIncome,59.00,28.00,2017
Adams,MidIncome,59.00,28.00,2018
Adams,MidIncome,59.00,28.00,2019
Adams,MidIncome,59.00,28.00,2020
Adams,MidIncome,96.00,34.00,2016
Adams,MidIncome,96.00,34.00,2017
Adams,MidIncome,96.00,34.00,2018
Adams,MidIncome,96.00,34.00,2019
Adams,MidIncome,96.00,34.00,2020
Adams,MidIncome,216.00,55.00,2016
Adams,MidIncome,216.00,55.00,2017
Adams,MidIncome,216.00,55.00,2018
Adams,MidIncome,216.00,55.00,2019
Adams,MidIncome,216.00,55.00,2020
Adams,MidIncome,178.00,52.00,2016
Adams,MidIncome,178.00,52.00,2017
Adams,MidIncome,178.00,52.00,2018
Adams,MidIncome,178.00,52.00,2019
Adams,MidIncome,178.00,52.00,2020
Adams,MidIncome,66.00,30.00,2016
Adams,MidIncome,66.00,30.00,2017
Adams,MidIncome,66.00,30.00,2018
Adams,MidIncome,66.00,30.00,2019
Adams,MidIncome,66.00,30.00,2020
Adams,HighIncome,74.00,28.00,2016
Adams,HighIncome,74.00,28.00,2017
Adams,HighIncome,74.00,28.00,2018
Adams,HighIncome,74.00,28.00,2019
Adams,HighIncome,74.00,28.00,2020
Adams,HighIncome,54.00,23.00,2016
Adams,HighIncome,54.00,23.00,2017
Adams,HighIncome,54.00,23.00,2018
Adams,HighIncome,54.00,23.00,2019
Adams,HighIncome,54.00,23.00,2020
Adams,HighIncome,41.00,27.00,2016
Adams,HighIncome,41.00,27.00,2017
Adams,HighIncome,41.00,27.00,2018
Adams,HighIncome,41.00,27.00,2019
Adams,HighIncome,41.00,27.00,2020
Allamakee,LowIncome,108.00,54.00,2016
Allamakee,LowIncome,108.00,54.00,2017
Allamakee,LowIncome,108.00,54.00,2018
Allamakee,LowIncome,108.00,54.00,2019
Allamakee,LowIncome,108.00,54.00,2020
Allamakee,LowIncome,83.00,49.00,2016
Allamakee,LowIncome,83.00,49.00,2017
Allamakee,LowIncome,83.00,49.00,2018
Allamakee,LowIncome,83.00,49.00,2019
Allamakee,LowIncome,83.00,49.00,2020
Allamakee,LowIncome,90.00,37.00,2016
Allamakee,LowIncome,90.00,37.00,2017
Allamakee,LowIncome,90.00,37.00,2018
Allamakee,LowIncome,90.00,37.00,2019
Allamakee,LowIncome,90.00,37.00,2020
Allamakee,LowIncome,85.00,43.00,2016
Allamakee,LowIncome,85.00,43.00,2017
Allamakee,LowIncome,85.00,43.00,2018
Allamakee,LowIncome,85.00,43.00,2019
Allamakee,LowIncome,85.00,43.00,2020
Allamakee,LowIncome,219.00,92.00,2016
Allamakee,LowIncome,219.00,92.00,2017
Allamakee,LowIncome,219.00,92.00,2018
Allamakee,LowIncome,219.00,92.00,2019
Allamakee,LowIncome,219.00,92.00,2020
Allamakee,LowIncome,108.00,65.00,2016
Allamakee,LowIncome,108.00,65.00,2017
Allamakee,LowIncome,108.00,65.00,2018
Allamakee,LowIncome,108.00,65.00,2019
Allamakee,LowIncome,108.00,65.00,2020
Allamakee,LowIncome,109.00,49.00,2016
Allamakee,LowIncome,109.00,49.00,2017
Allamakee,LowIncome,109.00,49.00,2018
Allamakee,LowIncome,109.00,49.00,2019
Allamakee,LowIncome,109.00,49.00,2020
Allamakee,MidIncome,95.00,42.00,2016
Allamakee,MidIncome,95.00,42.00,2017
Allamakee,MidIncome,95.00,42.00,2018
Allamakee,MidIncome,95.00,42.00,2019
Allamakee,MidIncome,95.00,42.00,2020
Allamakee,MidIncome,228.00,82.00,2016
Allamakee,MidIncome,228.00,82.00,2017
Allamakee,MidIncome,228.00,82.00,2018
Allamakee,MidIncome,228.00,82.00,2019
Allamakee,MidIncome,228.00,82.00,2020
Allamakee,MidIncome,271.00,89.00,2016
Allamakee,MidIncome,271.00,89.00,2017
Allamakee,MidIncome,271.00,89.00,2018
Allamakee,MidIncome,271.00,89.00,2019
Allamakee,MidIncome,271.00,89.00,2020
Allamakee,MidIncome,515.00,122.00,2016
Allamakee,MidIncome,515.00,122.00,2017
Allamakee,MidIncome,515.00,122.00,2018
Allamakee,MidIncome,515.00,122.00,2019
Allamakee,MidIncome,515.00,122.00,2020
Allamakee,MidIncome,650.00,112.00,2016
Allamakee,MidIncome,650.00,112.00,2017
Allamakee,MidIncome,650.00,112.00,2018
Allamakee,MidIncome,650.00,112.00,2019
Allamakee,MidIncome,650.00,112.00,2020
Allamakee,MidIncome,595.00,139.00,2016
Allamakee,MidIncome,595.00,139.00,2017
Allamakee,MidIncome,595.00,139.00,2018
Allamakee,MidIncome,595.00,139.00,2019
Allamakee,MidIncome,595.00,139.00,2020
Allamakee,HighIncome,206.00,79.00,2016
Allamakee,HighIncome,206.00,79.00,2017
Allamakee,HighIncome,206.00,79.00,2018
Allamakee,HighIncome,206.00,79.00,2019
Allamakee,HighIncome,206.00,79.00,2020
Allamakee,HighIncome,87.00,36.00,2016
Allamakee,HighIncome,87.00,36.00,2017
Allamakee,HighIncome,87.00,36.00,2018
Allamakee,HighIncome,87.00,36.00,2019
Allamakee,HighIncome,87.00,36.00,2020
Allamakee,HighIncome,206.00,100.00,2016
Allamakee,HighIncome,206.00,100.00,2017
Allamakee,HighIncome,206.00,100.00,2018
Allamakee,HighIncome,206.00,100.00,2019
Allamakee,HighIncome,206.00,100.00,2020
Appanoose,LowIncome,257.00,111.00,2016
Appanoose,LowIncome,257.00,111.00,2017
Appanoose,LowIncome,257.00,111.00,2018
Appanoose,LowIncome,257.00,111.00,2019
Appanoose,LowIncome,257.00,111.00,2020
Appanoose,LowIncome,62.00,34.00,2016
Appanoose,LowIncome,62.00,34.00,2017
Appanoose,LowIncome,62.00,34.00,2018
Appanoose,LowIncome,62.00,34.00,2019
Appanoose,LowIncome,62.00,34.00,2020
Appanoose,LowIncome,182.00,96.00,2016
Appanoose,LowIncome,182.00,96.00,2017
Appanoose,LowIncome,182.00,96.00,2018
Appanoose,LowIncome,182.00,96.00,2019
Appanoose,LowIncome,182.00,96.00,2020
Appanoose,LowIncome,135.00,52.00,2016
Appanoose,LowIncome,135.00,52.00,2017
Appanoose,LowIncome,135.00,52.00,2018
Appanoose,LowIncome,135.00,52.00,2019
Appanoose,LowIncome,135.00,52.00,2020
Appanoose,LowIncome,198.00,70.00,2016
Appanoose,LowIncome,198.00,70.00,2017
Appanoose,LowIncome,198.00,70.00,2018
Appanoose,LowIncome,198.00,70.00,2019
Appanoose,LowIncome,198.00,70.00,2020
Appanoose,LowIncome,255.00,91.00,2016
Appanoose,LowIncome,255.00,91.00,2017
Appanoose,LowIncome,255.00,91.00,2018
Appanoose,LowIncome,255.00,91.00,2019
Appanoose,LowIncome,255.00,91.00,2020
Appanoose,LowIncome,285.00,100.00,2016
Appanoose,LowIncome,285.00,100.00,2017
Appanoose,LowIncome,285.00,100.00,2018
Appanoose,LowIncome,285.00,100.00,2019
Appanoose,LowIncome,285.00,100.00,2020
Appanoose,MidIncome,130.00,52.00,2016
Appanoose,MidIncome,130.00,52.00,2017
Appanoose,MidIncome,130.00,52.00,2018
Appanoose,MidIncome,130.00,52.00,2019
Appanoose,MidIncome,130.00,52.00,2020
Appanoose,MidIncome,125.00,51.00,2016
Appanoose,MidIncome,125.00,51.00,2017
Appanoose,MidIncome,125.00,51.00,2018
Appanoose,MidIncome,125.00,51.00,2019
Appanoose,MidIncome,125.00,51.00,2020
Appanoose,MidIncome,259.00,75.00,2016
Appanoose,MidIncome,259.00,75.00,2017
Appanoose,MidIncome,259.00,75.00,2018
Appanoose,MidIncome,259.00,75.00,2019
Appanoose,MidIncome,259.00,75.00,2020
Appanoose,MidIncome,339.00,105.00,2016
Appanoose,MidIncome,339.00,105.00,2017
Appanoose,MidIncome,339.00,105.00,2018
Appanoose,MidIncome,339.00,105.00,2019
Appanoose,MidIncome,339.00,105.00,2020
Appanoose,MidIncome,442.00,94.00,2016
Appanoose,MidIncome,442.00,94.00,2017
Appanoose,MidIncome,442.00,94.00,2018
Appanoose,MidIncome,442.00,94.00,2019
Appanoose,MidIncome,442.00,94.00,2020
Appanoose,MidIncome,207.00,60.00,2016
Appanoose,MidIncome,207.00,60.00,2017
Appanoose,MidIncome,207.00,60.00,2018
Appanoose,MidIncome,207.00,60.00,2019
Appanoose,MidIncome,207.00,60.00,2020
Appanoose,HighIncome,144.00,63.00,2016
Appanoose,HighIncome,144.00,63.00,2017
Appanoose,HighIncome,144.00,63.00,2018
Appanoose,HighIncome,144.00,63.00,2019
Appanoose,HighIncome,144.00,63.00,2020
Appanoose,HighIncome,169.00,66.00,2016
Appanoose,HighIncome,169.00,66.00,2017
Appanoose,HighIncome,169.00,66.00,2018
Appanoose,HighIncome,169.00,66.00,2019
Appanoose,HighIncome,169.00,66.00,2020
Appanoose,HighIncome,70.00,40.00,2016
Appanoose,HighIncome,70.00,40.00,2017
Appanoose,HighIncome,70.00,40.00,2018
Appanoose,HighIncome,70.00,40.00,2019
Appanoose,HighIncome,70.00,40.00,2020
Audubon,LowIncome,32.00,21.00,2016
Audubon,LowIncome,32.00,21.00,2017
Audubon,LowIncome,32.00,21.00,2018
Audubon,LowIncome,32.00,21.00,2019
Audubon,LowIncome,32.00,21.00,2020
Audubon,LowIncome,52.00,35.00,2016
Audubon,LowIncome,52.00,35.00,2017
Audubon,LowIncome,52.00,35.00,2018
Audubon,LowIncome,52.00,35.00,2019
Audubon,LowIncome,52.00,35.00,2020
Audubon,LowIncome,37.00,24.00,2016
Audubon,LowIncome,37.00,24.00,2017
Audubon,LowIncome,37.00,24.00,2018
Audubon,LowIncome,37.00,24.00,2019
Audubon,LowIncome,37.00,24.00,2020
Audubon,LowIncome,90.00,39.00,2016
Audubon,LowIncome,90.00,39.00,2017
Audubon,LowIncome,90.00,39.00,2018
Audubon,LowIncome,90.00,39.00,2019
Audubon,LowIncome,90.00,39.00,2020
Audubon,LowIncome,32.00,17.00,2016
Audubon,LowIncome,32.00,17.00,2017
Audubon,LowIncome,32.00,17.00,2018
Audubon,LowIncome,32.00,17.00,2019
Audubon,LowIncome,32.00,17.00,2020
Audubon,LowIncome,86.00,44.00,2016
Audubon,LowIncome,86.00,44.00,2017
Audubon,LowIncome,86.00,44.00,2018
Audubon,LowIncome,86.00,44.00,2019
Audubon,LowIncome,86.00,44.00,2020
Audubon,LowIncome,120.00,62.00,2016
Audubon,LowIncome,120.00,62.00,2017
Audubon,LowIncome,120.00,62.00,2018
Audubon,LowIncome,120.00,62.00,2019
Audubon,LowIncome,120.00,62.00,2020
Audubon,MidIncome,66.00,28.00,2016
Audubon,MidIncome,66.00,28.00,2017
Audubon,MidIncome,66.00,28.00,2018
Audubon,MidIncome,66.00,28.00,2019
Audubon,MidIncome,66.00,28.00,2020
Audubon,MidIncome,109.00,50.00,2016
Audubon,MidIncome,109.00,50.00,2017
Audubon,MidIncome,109.00,50.00,2018
Audubon,MidIncome,109.00,50.00,2019
Audubon,MidIncome,109.00,50.00,2020
Audubon,MidIncome,167.00,48.00,2016
Audubon,MidIncome,167.00,48.00,2017
Audubon,MidIncome,167.00,48.00,2018
Audubon,MidIncome,167.00,48.00,2019
Audubon,MidIncome,167.00,48.00,2020
Audubon,MidIncome,226.00,43.00,2016
Audubon,MidIncome,226.00,43.00,2017
Audubon,MidIncome,226.00,43.00,2018
Audubon,MidIncome,226.00,43.00,2019
Audubon,MidIncome,226.00,43.00,2020
Audubon,MidIncome,246.00,60.00,2016
Audubon,MidIncome,246.00,60.00,2017
Audubon,MidIncome,246.00,60.00,2018
Audubon,MidIncome,246.00,60.00,2019
Audubon,MidIncome,246.00,60.00,2020
Audubon,MidIncome,125.00,50.00,2016
Audubon,MidIncome,125.00,50.00,2017
Audubon,MidIncome,125.00,50.00,2018
Audubon,MidIncome,125.00,50.00,2019
Audubon,MidIncome,125.00,50.00,2020
Audubon,HighIncome,101.00,44.00,2016
Audubon,HighIncome,101.00,44.00,2017
Audubon,HighIncome,101.00,44.00,2018
Audubon,HighIncome,101.00,44.00,2019
Audubon,HighIncome,101.00,44.00,2020
Audubon,HighIncome,46.00,25.00,2016
Audubon,HighIncome,46.00,25.00,2017
Audubon,HighIncome,46.00,25.00,2018
Audubon,HighIncome,46.00,25.00,2019
Audubon,HighIncome,46.00,25.00,2020
Audubon,HighIncome,37.00,18.00,2016
Audubon,HighIncome,37.00,18.00,2017
Audubon,HighIncome,37.00,18.00,2018
Audubon,HighIncome,37.00,18.00,2019
Audubon,HighIncome,37.00,18.00,2020
Benton,LowIncome,186.00,75.00,2016
Benton,LowIncome,186.00,75.00,2017
Benton,LowIncome,186.00,75.00,2018
Benton,LowIncome,186.00,75.00,2019
Benton,LowIncome,186.00,75.00,2020
Benton,LowIncome,118.00,63.00,2016
Benton,LowIncome,118.00,63.00,2017
Benton,LowIncome,118.00,63.00,2018
Benton,LowIncome,118.00,63.00,2019
Benton,LowIncome,118.00,63.00,2020
Benton,LowIncome,138.00,58.00,2016
Benton,LowIncome,138.00,58.00,2017
Benton,LowIncome,138.00,58.00,2018
Benton,LowIncome,138.00,58.00,2019
Benton,LowIncome,138.00,58.00,2020
Benton,LowIncome,135.00,59.00,2016
Benton,LowIncome,135.00,59.00,2017
Benton,LowIncome,135.00,59.00,2018
Benton,LowIncome,135.00,59.00,2019
Benton,LowIncome,135.00,59.00,2020
Benton,LowIncome,166.00,73.00,2016
Benton,LowIncome,166.00,73.00,2017
Benton,LowIncome,166.00,73.00,2018
Benton,LowIncome,166.00,73.00,2019
Benton,LowIncome,166.00,73.00,2020
Benton,LowIncome,237.00,64.00,2016
Benton,LowIncome,237.00,64.00,2017
Benton,LowIncome,237.00,64.00,2018
Benton,LowIncome,237.00,64.00,2019
Benton,LowIncome,237.00,64.00,2020
Benton,LowIncome,252.00,92.00,2016
Benton,LowIncome,252.00,92.00,2017
Benton,LowIncome,252.00,92.00,2018
Benton,LowIncome,252.00,92.00,2019
Benton,LowIncome,252.00,92.00,2020
Benton,MidIncome,336.00,99.00,2016
Benton,MidIncome,336.00,99.00,2017
Benton,MidIncome,336.00,99.00,2018
Benton,MidIncome,336.00,99.00,2019
Benton,MidIncome,336.00,99.00,2020
Benton,MidIncome,233.00,66.00,2016
Benton,MidIncome,233.00,66.00,2017
Benton,MidIncome,233.00,66.00,2018
Benton,MidIncome,233.00,66.00,2019
Benton,MidIncome,233.00,66.00,2020
Benton,MidIncome,506.00,141.00,2016
Benton,MidIncome,506.00,141.00,2017
Benton,MidIncome,506.00,141.00,2018
Benton,MidIncome,506.00,141.00,2019
Benton,MidIncome,506.00,141.00,2020
Benton,MidIncome,927.00,141.00,2016
Benton,MidIncome,927.00,141.00,2017
Benton,MidIncome,927.00,141.00,2018
Benton,MidIncome,927.00,141.00,2019
Benton,MidIncome,927.00,141.00,2020
Benton,MidIncome,1405.00,150.00,2016
Benton,MidIncome,1405.00,150.00,2017
Benton,MidIncome,1405.00,150.00,2018
Benton,MidIncome,1405.00,150.00,2019
Benton,MidIncome,1405.00,150.00,2020
Benton,MidIncome,1073.00,186.00,2016
Benton,MidIncome,1073.00,186.00,2017
Benton,MidIncome,1073.00,186.00,2018
Benton,MidIncome,1073.00,186.00,2019
Benton,MidIncome,1073.00,186.00,2020
Benton,HighIncome,708.00,128.00,2016
Benton,HighIncome,708.00,128.00,2017
Benton,HighIncome,708.00,128.00,2018
Benton,HighIncome,708.00,128.00,2019
Benton,HighIncome,708.00,128.00,2020
Benton,HighIncome,470.00,98.00,2016
Benton,HighIncome,470.00,98.00,2017
Benton,HighIncome,470.00,98.00,2018
Benton,HighIncome,470.00,98.00,2019
Benton,HighIncome,470.00,98.00,2020
Benton,HighIncome,371.00,100.00,2016
Benton,HighIncome,371.00,100.00,2017
Benton,HighIncome,371.00,100.00,2018
Benton,HighIncome,371.00,100.00,2019
Benton,HighIncome,371.00,100.00,2020
Black Hawk,LowIncome,1272.00,244.00,2016
Black Hawk,LowIncome,1272.00,244.00,2017
Black Hawk,LowIncome,1272.00,244.00,2018
Black Hawk,LowIncome,1272.00,244.00,2019
Black Hawk,LowIncome,1272.00,244.00,2020
Black Hawk,LowIncome,715.00,171.00,2016
Black Hawk,LowIncome,715.00,171.00,2017
Black Hawk,LowIncome,715.00,171.00,2018
Black Hawk,LowIncome,715.00,171.00,2019
Black Hawk,LowIncome,715.00,171.00,2020
Black Hawk,LowIncome,864.00,206.00,2016
Black Hawk,LowIncome,864.00,206.00,2017
Black Hawk,LowIncome,864.00,206.00,2018
Black Hawk,LowIncome,864.00,206.00,2019
Black Hawk,LowIncome,864.00,206.00,2020
Black Hawk,LowIncome,994.00,223.00,2016
Black Hawk,LowIncome,994.00,223.00,2017
Black Hawk,LowIncome,994.00,223.00,2018
Black Hawk,LowIncome,994.00,223.00,2019
Black Hawk,LowIncome,994.00,223.00,2020
Black Hawk,LowIncome,1292.00,286.00,2016
Black Hawk,LowIncome,1292.00,286.00,2017
Black Hawk,LowIncome,1292.00,286.00,2018
Black Hawk,LowIncome,1292.00,286.00,2019
Black Hawk,LowIncome,1292.00,286.00,2020
Black Hawk,LowIncome,1245.00,253.00,2016
Black Hawk,LowIncome,1245.00,253.00,2017
Black Hawk,LowIncome,1245.00,253.00,2018
Black Hawk,LowIncome,1245.00,253.00,2019
Black Hawk,LowIncome,1245.00,253.00,2020
Black Hawk,LowIncome,1353.00,310.00,2016
Black Hawk,LowIncome,1353.00,310.00,2017
Black Hawk,LowIncome,1353.00,310.00,2018
Black Hawk,LowIncome,1353.00,310.00,2019
Black Hawk,LowIncome,1353.00,310.00,2020
Black Hawk,MidIncome,1095.00,230.00,2016
Black Hawk,MidIncome,1095.00,230.00,2017
Black Hawk,MidIncome,1095.00,230.00,2018
Black Hawk,MidIncome,1095.00,230.00,2019
Black Hawk,MidIncome,1095.00,230.00,2020
Black Hawk,MidIncome,1238.00,225.00,2016
Black Hawk,MidIncome,1238.00,225.00,2017
Black Hawk,MidIncome,1238.00,225.00,2018
Black Hawk,MidIncome,1238.00,225.00,2019
Black Hawk,MidIncome,1238.00,225.00,2020
Black Hawk,MidIncome,2534.00,331.00,2016
Black Hawk,MidIncome,2534.00,331.00,2017
Black Hawk,MidIncome,2534.00,331.00,2018
Black Hawk,MidIncome,2534.00,331.00,2019
Black Hawk,MidIncome,2534.00,331.00,2020
Black Hawk,MidIncome,3370.00,346.00,2016
Black Hawk,MidIncome,3370.00,346.00,2017
Black Hawk,MidIncome,3370.00,346.00,2018
Black Hawk,MidIncome,3370.00,346.00,2019
Black Hawk,MidIncome,3370.00,346.00,2020
Black Hawk,MidIncome,4937.00,342.00,2016
Black Hawk,MidIncome,4937.00,342.00,2017
Black Hawk,MidIncome,4937.00,342.00,2018
Black Hawk,MidIncome,4937.00,342.00,2019
Black Hawk,MidIncome,4937.00,342.00,2020
Black Hawk,MidIncome,3847.00,363.00,2016
Black Hawk,MidIncome,3847.00,363.00,2017
Black Hawk,MidIncome,3847.00,363.00,2018
Black Hawk,MidIncome,3847.00,363.00,2019
Black Hawk,MidIncome,3847.00,363.00,2020
Black Hawk,HighIncome,2327.00,256.00,2016
Black Hawk,HighIncome,2327.00,256.00,2017
Black Hawk,HighIncome,2327.00,256.00,2018
Black Hawk,HighIncome,2327.00,256.00,2019
Black Hawk,HighIncome,2327.00,256.00,2020
Black Hawk,HighIncome,2111.00,389.00,2016
Black Hawk,HighIncome,2111.00,389.00,2017
Black Hawk,HighIncome,2111.00,389.00,2018
Black Hawk,HighIncome,2111.00,389.00,2019
Black Hawk,HighIncome,2111.00,389.00,2020
Black Hawk,HighIncome,2135.00,323.00,2016
Black Hawk,HighIncome,2135.00,323.00,2017
Black Hawk,HighIncome,2135.00,323.00,2018
Black Hawk,HighIncome,2135.00,323.00,2019
Black Hawk,HighIncome,2135.00,323.00,2020
Boone,LowIncome,106.00,52.00,2016
Boone,LowIncome,106.00,52.00,2017
Boone,LowIncome,106.00,52.00,2018
Boone,LowIncome,106.00,52.00,2019
Boone,LowIncome,106.00,52.00,2020
Boone,LowIncome,59.00,44.00,2016
Boone,LowIncome,59.00,44.00,2017
Boone,LowIncome,59.00,44.00,2018
Boone,LowIncome,59.00,44.00,2019
Boone,LowIncome,59.00,44.00,2020
Boone,LowIncome,62.00,37.00,2016
Boone,LowIncome,62.00,37.00,2017
Boone,LowIncome,62.00,37.00,2018
Boone,LowIncome,62.00,37.00,2019
Boone,LowIncome,62.00,37.00,2020
Boone,LowIncome,208.00,100.00,2016
Boone,LowIncome,208.00,100.00,2017
Boone,LowIncome,208.00,100.00,2018
Boone,LowIncome,208.00,100.00,2019
Boone,LowIncome,208.00,100.00,2020
Boone,LowIncome,129.00,53.00,2016
Boone,LowIncome,129.00,53.00,2017
Boone,LowIncome,129.00,53.00,2018
Boone,LowIncome,129.00,53.00,2019
Boone,LowIncome,129.00,53.00,2020
Boone,LowIncome,178.00,77.00,2016
Boone,LowIncome,178.00,77.00,2017
Boone,LowIncome,178.00,77.00,2018
Boone,LowIncome,178.00,77.00,2019
Boone,LowIncome,178.00,77.00,2020
Boone,LowIncome,256.00,103.00,2016
Boone,LowIncome,256.00,103.00,2017
Boone,LowIncome,256.00,103.00,2018
Boone,LowIncome,256.00,103.00,2019
Boone,LowIncome,256.00,103.00,2020
Boone,MidIncome,302.00,109.00,2016
Boone,MidIncome,302.00,109.00,2017
Boone,MidIncome,302.00,109.00,2018
Boone,MidIncome,302.00,109.00,2019
Boone,MidIncome,302.00,109.00,2020
Boone,MidIncome,242.00,70.00,2016
Boone,MidIncome,242.00,70.00,2017
Boone,MidIncome,242.00,70.00,2018
Boone,MidIncome,242.00,70.00,2019
Boone,MidIncome,242.00,70.00,2020
Boone,MidIncome,492.00,114.00,2016
Boone,MidIncome,492.00,114.00,2017
Boone,MidIncome,492.00,114.00,2018
Boone,MidIncome,492.00,114.00,2019
Boone,MidIncome,492.00,114.00,2020
Boone,MidIncome,884.00,189.00,2016
Boone,MidIncome,884.00,189.00,2017
Boone,MidIncome,884.00,189.00,2018
Boone,MidIncome,884.00,189.00,2019
Boone,MidIncome,884.00,189.00,2020
Boone,MidIncome,1426.00,225.00,2016
Boone,MidIncome,1426.00,225.00,2017
Boone,MidIncome,1426.00,225.00,2018
Boone,MidIncome,1426.00,225.00,2019
Boone,MidIncome,1426.00,225.00,2020
Boone,MidIncome,1115.00,178.00,2016
Boone,MidIncome,1115.00,178.00,2017
Boone,MidIncome,1115.00,178.00,2018
Boone,MidIncome,1115.00,178.00,2019
Boone,MidIncome,1115.00,178.00,2020
Boone,HighIncome,752.00,200.00,2016
Boone,HighIncome,752.00,200.00,2017
Boone,HighIncome,752.00,200.00,2018
Boone,HighIncome,752.00,200.00,2019
Boone,HighIncome,752.00,200.00,2020
